model,Cubic excess-over-threshold,Emanuel 2011,Schwierz 2010
ACCESS-CM2,0.0013906851875868812,0.015553998543074909,29.81271963012029
ACCESS-ESM1-5,0.0031879976842373566,0.02706445072991556,74.27414705355912
AWI-CM-1-1-MR,0.003324946419896524,0.01660952105373994,28.859366359123122
BCC-CSM2-MR,0.004705708690388855,0.02084806375149646,44.577748501321864
CMCC-CM2-SR5,0.004496440959922876,0.03022772798774568,88.57102089406297
CMCC-ESM2,0.004329011130179169,0.0267384901495885,70.77878049635879
CNRM-CM6-1,0.005183536874687507,0.021889882041142984,45.98260921072234
CNRM-CM6-1-HR,0.0027833238655329178,0.012737361502745924,13.914344889960253
CNRM-ESM2-1,0.004347861818538956,0.01984245961184178,41.38003565450846
CanESM5,0.0012607753774229549,0.0073048677886382325,7.524890767273687
EC-Earth3-CC,0.00353899120819236,0.015627261812929248,26.74829487906758
EC-Earth3-Veg,0.0026273836087901846,0.012860624482303695,17.68683758472222
EC-Earth3-Veg-LR,0.0028692474567643144,0.01352238181294939,21.413074066092
FGOALS-g3,0.005654864986640273,0.0187221293839721,47.93197580686228
GFDL-CM4,0.002937881711297046,0.017606262011826253,37.50603456470667
GISS-E2-1-G,0.004790813819708586,0.028829617086164806,74.34166220209839
HadGEM3-GC31-LL,0.002046370572558366,0.02325032454106183,54.52293366289341
HadGEM3-GC31-MM,0.0017582787862108068,0.016280931973415434,32.01028157548228
INM-CM4-8,0.0047696671337649375,0.027801171328199245,69.5466574033056
INM-CM5-0,0.004703155620388606,0.029977838032803173,66.62378296051382
IPSL-CM6A-LR,0.0014791850006977295,0.00818225263362806,6.144123324058326
KACE-1-0-G,0.0016323725423497625,0.017626692422275082,40.643590902856744
MIROC-ES2L,0.0019795593917433397,0.00860822172581443,7.103364278267771
MIROC6,0.0025704346667301207,0.02931425949804179,72.39378234508028
MPI-ESM1-2-HR,0.0034594007849208046,0.015264434753518161,30.934471439212455
MPI-ESM1-2-LR,0.0034539859934485558,0.01198573741794557,19.53481368288845
MRI-ESM2-0,0.0021881980879730574,0.015617870057769635,11.22513200517822
NESM3,0.0023355984569790387,0.01418187496195832,27.20146101219014
UKESM1-0-LL,0.0018725041634776,0.020168347999853464,53.214133979528015
