Impf,CubEOT,Em2011,Sw2010
scenario,historical,historical,historical
metric,AAI_agg,AAI_agg,AAI_agg
AWI-CM-1-1-MR,0.002564717035828023,0.011158691323918406,22.974783812387894
BCC-CSM2-MR,0.0037360593698422843,0.01534871611671722,34.03406872563162
CNRM-CM6-1-HR,0.0019213098407971393,0.008767993506916366,10.25033189428857
EC-Earth3-CC,0.002468400629270589,0.011123388011127479,20.369983636037848
HadGEM3-GC31-LL,0.0015394647652595393,0.015452881178006028,42.87811262836052
GISS-E2-1-G,0.003779510534173956,0.018956540951729044,58.420134021421596
GFDL-CM4,0.002091641490237713,0.012040934288117661,27.552961874555994
CMCC-CM2-SR5,0.003451281489737106,0.01979062578177429,62.293946388124894
CMCC-ESM2,0.003303276290276402,0.017487571027586978,52.329239650712545
HadGEM3-GC31-MM,0.0012782781532341947,0.011920920018606182,26.259331157093715
NESM3,0.001946516751689805,0.011487347152005693,24.052105924692707
MPI-ESM1-2-HR,0.0026947156355795537,0.011436107313188991,24.25415895823326
INM-CM4-8,0.003661846146186655,0.017819292958272958,49.01531256972644
INM-CM5-0,0.0034149929914551874,0.01810239203262178,47.49298303439566
ACCESS-CM2,0.0010267494674049934,0.011663983653997352,23.516245267836467
CanESM5,0.0009493337855647656,0.005436370045451412,5.921586914854281
CNRM-CM6-1,0.003738358018004768,0.014194327675138242,33.36225499320717
CNRM-ESM2-1,0.003237530849861116,0.01304294304314132,30.487091108828636
EC-Earth3-Veg,0.001976099744814305,0.009564391486818044,14.87297496249565
EC-Earth3-Veg-LR,0.0021802810852452354,0.010084922812021653,17.143656760169616
IPSL-CM6A-LR,0.0011194091148851628,0.006051915482680295,5.207412508765065
MIROC-ES2L,0.0016283066022466852,0.006853082008202645,6.273408691086261
UKESM1-0-LL,0.0014207721595300182,0.014929635613650889,40.75358452932434
MRI-ESM2-0,0.0016188852203663326,0.010304060195791177,8.084000957841686
FGOALS-g3,0.004546119661549855,0.0140924138565365,37.451213149991226
ACCESS-ESM1-5,0.002430143808896117,0.017658592866016648,54.547442721324174
MIROC6,0.001970187861936154,0.019004225073762936,52.87367838141247
MPI-ESM1-2-LR,0.002746828465443542,0.009113640386145693,16.188519455218156
KACE-1-0-G,0.001246560105597428,0.013019233672729879,30.99454391943771
