model,Cubic excess-over-threshold,Emanuel 2011,Schwierz 2010
ACCESS-CM2,0.0015237020541572896,0.01680308032772502,31.054916281375302
ACCESS-ESM1-5,0.003381948379006053,0.026684723225637204,77.36890318079074
AWI-CM-1-1-MR,0.0034857791322258857,0.016034868795291847,28.859366359123122
BCC-CSM2-MR,0.004930792913179596,0.022474424902352907,44.577748501321864
CMCC-CM2-SR5,0.004796232466632166,0.030140240037037715,92.26148009798226
CMCC-ESM2,0.004561244517449018,0.026387753205111955,70.77878049635879
CNRM-CM6-1,0.005590123859792325,0.021402710083275926,45.98260921072234
CNRM-CM6-1-HR,0.0030061294857446435,0.01387720950100749,14.494109260375263
CNRM-ESM2-1,0.004656122419330676,0.019431651985268725,41.38003565450846
CanESM5,0.0013649344554780333,0.008000556023116934,7.6939069417364525
EC-Earth3-CC,0.00394816495994059,0.01737338860262308,27.862807165695394
EC-Earth3-Veg,0.0028990222991809806,0.01411741249430052,18.376911438711357
EC-Earth3-Veg-LR,0.003069730988000551,0.014414032596411807,21.413074066092
FGOALS-g3,0.005977583344339822,0.02008219098479104,47.93197580686228
GFDL-CM4,0.003259368879540744,0.019761589138195965,43.20695181854208
GISS-E2-1-G,0.005216640616331164,0.028876590918114113,82.21593106254466
HadGEM3-GC31-LL,0.0022765167030699934,0.023149350671620907,54.52293366289341
HadGEM3-GC31-MM,0.0019275126469377687,0.01783988370047523,36.87584437495559
INM-CM4-8,0.005054666683354816,0.027527767568885555,69.5466574033056
INM-CM5-0,0.005271872506106196,0.030532011209527758,69.3997739172019
IPSL-CM6A-LR,0.0015846871499771977,0.008823187221983319,6.24762198804796
KACE-1-0-G,0.0017764725221889053,0.01895807251233179,42.33707385714244
MIROC-ES2L,0.0020632997909563688,0.009091574065564129,7.103364278267771
MIROC6,0.0027284786337104733,0.029066431503501907,72.39378234508028
MPI-ESM1-2-HR,0.003707770443874418,0.016527818403171662,30.934471439212455
MPI-ESM1-2-LR,0.003640876312626394,0.012731385560237302,19.53481368288845
MRI-ESM2-0,0.002350152853547477,0.015422914468391367,12.033903759596631
NESM3,0.0024127926101855744,0.014764398399574484,30.082639762601318
UKESM1-0-LL,0.0019952166199107622,0.021784722914621517,55.43138956200835
