model,Cubic excess-over-threshold,Emanuel 2011,Schwierz 2010
ACCESS-CM2,0.001308423077370107,0.01618505240807221,29.81271963012029
ACCESS-ESM1-5,0.002801399332394051,0.024544915019661228,71.30318117141675
AWI-CM-1-1-MR,0.003269541298645052,0.015475132077322554,28.859366359123122
BCC-CSM2-MR,0.0047641808679806195,0.021306362493175798,44.577748501321864
CMCC-CM2-SR5,0.004584692337820969,0.027537426975890532,81.62705285596843
CMCC-ESM2,0.004212557394380067,0.02431263725397951,67.94762927650444
CNRM-CM6-1,0.004966485101157531,0.019712133501249413,44.14330484229344
CNRM-CM6-1-HR,0.0025514016747847407,0.01216389796536387,12.668233004242598
CNRM-ESM2-1,0.004300354503680964,0.018100770113054943,39.72483422832813
CanESM5,0.0010938962164168038,0.007225934233157631,7.071381382164612
EC-Earth3-CC,0.0032781533597516553,0.015435988360083149,25.678363083904877
EC-Earth3-Veg,0.002518981638091087,0.013264500694724157,17.68683758472222
EC-Earth3-Veg-LR,0.002779267913962825,0.013982324076656623,21.413074066092
FGOALS-g3,0.005243564390828489,0.019554959938296822,47.93197580686228
GFDL-CM4,0.002666248264888634,0.016710563453168202,36.005793182118396
GISS-E2-1-G,0.0048206143997002685,0.026367439239919684,74.34166220209839
HadGEM3-GC31-LL,0.001962011524057896,0.021466034497016954,54.52293366289341
HadGEM3-GC31-MM,0.0016291206850109106,0.016548960272423228,32.01028157548228
INM-CM4-8,0.004670946270512862,0.024799657571799163,60.37036232925833
INM-CM5-0,0.00453717735090803,0.025209380452863646,63.958831642093266
IPSL-CM6A-LR,0.0012899710208761934,0.008046722529603168,5.949428939112947
KACE-1-0-G,0.0014364835851671915,0.018071794172156895,39.01784726674248
MIROC-ES2L,0.0018765073053167703,0.009108481125824474,7.103364278267773
MIROC6,0.0025113210007156883,0.026438956073853576,69.49803105127708
MPI-ESM1-2-HR,0.0034355322860071054,0.015861842896856933,30.934471439212455
MPI-ESM1-2-LR,0.003166528279484657,0.012122841207355102,19.53481368288845
MRI-ESM2-0,0.002063330894503672,0.014287418770590728,9.78888914843729
NESM3,0.0022431888286366516,0.015280321402598102,27.20146101219014
UKESM1-0-LL,0.001637314583875855,0.02073644273571699,53.214133979528015
