model,Cubic excess-over-threshold,Emanuel 2011,Schwierz 2010
ACCESS-CM2,0.001288988369874463,0.19637519293228428,9.575921148974373
ACCESS-ESM1-5,0.002956904805451994,0.2379318898845012,13.100597811002597
AWI-CM-1-1-MR,0.003120969425941244,0.04028506661737613,1.7401238177977163
BCC-CSM2-MR,0.004432797928690109,0.044197777222093594,1.7845459570651045
CMCC-CM2-SR5,0.00455656306898014,0.14641863600201793,6.617789489237331
CMCC-ESM2,0.003962031136959001,0.09903369371026091,4.160926278551454
CNRM-CM6-1,0.005170640758093423,0.037909064819984926,1.953011185954185
CNRM-CM6-1-HR,0.0027019680592375,0.03730939230195925,1.5090268161459504
CNRM-ESM2-1,0.004002014883392698,0.0309974640877868,1.5938381609283876
CanESM5,0.0011597904408635034,0.014505080095873455,0.5645243960755375
EC-Earth3-CC,0.003076378636652258,0.03816372228246587,1.4582148592040831
EC-Earth3-Veg,0.002414877972446814,0.028766674581195813,1.1254581807148114
EC-Earth3-Veg-LR,0.002653669072243577,0.03070513446311949,1.3723384930798073
FGOALS-g3,0.005362467017144417,0.048285143769026026,2.5700538177568792
GFDL-CM4,0.002623991053583719,0.0662875563101615,2.847107240848899
GISS-E2-1-G,0.004481748085350055,0.07446969548112825,3.1216154584147295
HadGEM3-GC31-LL,0.0018772669224350858,0.1759565984996703,9.244806349771727
HadGEM3-GC31-MM,0.001589660132190078,0.18752364551701795,9.958536129007182
INM-CM4-8,0.00439624641084774,0.04211686556170123,1.4994623549167645
INM-CM5-0,0.004639855164899455,0.05926473175164734,2.6394033307054614
IPSL-CM6A-LR,0.0013588746892697083,0.02012169884250546,0.7336298527819228
KACE-1-0-G,0.0015148477843227857,0.1657485911491912,8.595158437222956
MIROC-ES2L,0.001900303496990927,0.011909471983776019,0.3649870304333871
MIROC6,0.0023581981446813894,0.1770758292702782,7.413546741167682
MPI-ESM1-2-HR,0.0032495695071723552,0.04733138499165003,2.0631490804190173
MPI-ESM1-2-LR,0.0032459584044715007,0.00913943020890972,0.35976777722385206
MRI-ESM2-0,0.002005799808573936,0.013871664883385225,0.32771305407238366
NESM3,0.0022686577549259914,0.06972116023733628,3.512147170919802
UKESM1-0-LL,0.0017299214295027254,0.2141086977540007,10.524014406683632
