model,Cubic excess-over-threshold,Emanuel 2011,Schwierz 2010
ACCESS-CM2,0.0009219189752719761,0.02372238716971825,19.338379474823228
ACCESS-ESM1-5,0.0020462546306143706,0.0376731720332759,45.403440088770246
AWI-CM-1-1-MR,0.002109077635511537,0.022637835346767488,18.35174046834223
BCC-CSM2-MR,0.0029833861137051414,0.031729123384043004,61.243729105953456
CMCC-CM2-SR5,0.0029019700464007255,0.0425516292014094,93.9276432438357
CMCC-ESM2,0.002759790117771564,0.03725391332193861,45.95470951864587
CNRM-CM6-1,0.0033823156216150653,0.030216089263047946,28.655642739886503
CNRM-CM6-1-HR,0.0018188646576087677,0.019591677847008368,18.64304803615768
CNRM-ESM2-1,0.002817196182060863,0.02743337309297856,26.313664182797442
CanESM5,0.0008258563221558952,0.004840752422898947,9.896287803808512
EC-Earth3-CC,0.0023888451053419744,0.02452754154852003,17.363665559116168
EC-Earth3-Veg,0.0017540592401640513,0.01993079355050354,26.06012582769184
EC-Earth3-Veg-LR,0.0018573468737517085,0.020349558251223036,13.013862679523871
FGOALS-g3,0.003616748757659498,0.028351796246036176,31.011748181884574
GFDL-CM4,0.0019720876593038858,0.011956789031243741,57.318160520175404
GISS-E2-1-G,0.003156338838192404,0.0407676245391025,49.463631874344436
HadGEM3-GC31-LL,0.0013774109842259056,0.03268197548598635,37.03986813499208
HadGEM3-GC31-MM,0.0011662453820549907,0.02518613372972653,21.7124427004791
INM-CM4-8,0.003058336186097197,0.03886337192054179,42.17613857987537
INM-CM5-0,0.0031897570035645663,0.04310472704147677,89.78573227029386
IPSL-CM6A-LR,0.0009588181294680032,0.005338487075035453,4.050145906191851
KACE-1-0-G,0.0010748582524954414,0.02676477927603987,25.640235311736806
MIROC-ES2L,0.001248403665117732,0.012835375166874653,4.604897960672647
MIROC6,0.0016508714542837893,0.04103563919946596,45.31607746778083
MPI-ESM1-2-HR,0.002243393922607104,0.023333775687776913,43.7140106198954
MPI-ESM1-2-LR,0.002202919494707225,0.017974017357316303,12.61941333127999
MRI-ESM2-0,0.001421964684344608,0.021773885571501304,7.198013723391541
NESM3,0.0014598649943780022,0.02084420048773846,18.450639436076138
UKESM1-0-LL,0.0012072098063102465,0.03075541039418768,48.986486877366815
