Impf,CubEOT,Em2011,Sw2010
scenario,historical,historical,historical
metric,AAI_agg,AAI_agg,AAI_agg
AWI-CM-1-1-MR,0.0030253162097948778,0.01390669041448655,26.175267458652307
BCC-CSM2-MR,0.004279306571957254,0.01948901895982864,38.05303167178002
CNRM-CM6-1-HR,0.002609179737219467,0.012036125040265752,12.241489813156733
EC-Earth3-CC,0.0034265861860634343,0.015064961268604085,24.333205118584164
HadGEM3-GC31-LL,0.001975970727764127,0.02007409127075473,50.90110423278383
GISS-E2-1-G,0.0045267648384502476,0.025016654859534998,68.35609212154958
GFDL-CM4,0.0028289015384219004,0.017135337023913847,36.35723309977824
CMCC-CM2-SR5,0.004162189744680089,0.026114811098396674,75.00181938778047
CMCC-ESM2,0.003958428703746808,0.02287269285107449,62.878486172365854
HadGEM3-GC31-MM,0.0016730576003923035,0.015472938471304279,30.731081759332362
NESM3,0.0020941969026032963,0.012807032621175442,25.47617011306658
MPI-ESM1-2-HR,0.0032180211076668764,0.014335551947734672,27.90354860822842
INM-CM4-8,0.004386474415334982,0.02386190102949319,59.34299940342186
INM-CM5-0,0.004574980897861327,0.02644745078303222,59.056146022149875
ACCESS-CM2,0.00132256907399112,0.01457225291202664,26.629798839211247
CanESM5,0.0011847621620023467,0.00694204497043879,6.824854978126508
CNRM-CM6-1,0.00485106994956064,0.01855739786916545,39.15321095865343
CNRM-ESM2-1,0.004040794022914441,0.01685027131338932,36.08604563275927
EC-Earth3-Veg,0.0025161831947000056,0.012245964518138641,16.98383200910699
EC-Earth3-Veg-LR,0.002664294461389029,0.012503180471840195,18.963475794031602
IPSL-CM6A-LR,0.001375493342377586,0.007655581538338095,5.896690702385765
MIROC-ES2L,0.0017908926394425387,0.007889115028117644,6.56242224073785
UKESM1-0-LL,0.0017317897591332119,0.018887110160618163,46.984649509973934
MRI-ESM2-0,0.002039865027016707,0.013378286053529295,10.304485893072927
FGOALS-g3,0.005186946050520438,0.017412250704662995,42.85820786931289
ACCESS-ESM1-5,0.0029351664223051647,0.023126514829627916,64.03222389109685
MIROC6,0.002368170358843482,0.025187301265367723,63.55112674255424
MPI-ESM1-2-LR,0.003159853275990081,0.011044675791914704,17.986290597113072
KACE-1-0-G,0.0015419559824661568,0.016441460685866004,35.51146473929051
